
2024/09/05 (08:57:19) | ===> btop++ v.1.3.2
2024/09/05 (08:57:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/05 (08:57:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/09/05 (08:57:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2024/09/29 (11:34:47) | ===> btop++ v.1.4.0
2024/09/29 (11:34:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (14:35:57) | ===> btop++ v.1.4.0
2024/12/02 (14:35:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (20:44:24) | ===> btop++ v.1.4.0
2025/02/07 (20:44:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (12:19:12) | ===> btop++ v.1.4.0
2025/02/09 (12:19:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (12:19:23) | ===> btop++ v.1.4.0
2025/02/09 (12:19:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (13:06:03) | ===> btop++ v.1.4.0
2025/02/09 (13:06:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (15:12:08) | ===> btop++ v.1.4.0
2025/02/09 (15:12:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (15:39:15) | ===> btop++ v.1.4.0
2025/02/10 (15:39:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (13:37:49) | ===> btop++ v.1.4.0
2025/04/21 (13:37:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (11:08:29) | ===> btop++ v.1.4.0
2025/04/23 (11:08:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (17:16:21) | ===> btop++ v.1.4.0
2025/04/29 (17:16:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (18:22:41) | ===> btop++ v.1.4.0
2025/05/03 (18:22:41) | WARNING: Intel GPU: Failed to initialize PMU
